cgpa,attendance,backlogs,study_hours,family_income,extracurricular,internships,coding_skill,communication_skill,projects,certifications,financial_stress,lms_engagement,mentor_sessions,dropout,placed,salary_lpa
6.95,68.9,2,2.9,3,6.3,1,6.8,8.1,1,0,7.3,75.0,1,1,1,7.84
5.23,79.8,0,4.9,1,6.1,1,3.7,4.8,3,1,4.7,59.6,0,0,1,7.71
6.67,72.3,1,1.0,4,3.0,0,4.5,6.7,2,2,2.0,47.6,2,0,1,7.07
6.04,62.5,2,3.0,2,4.5,0,3.2,5.9,4,0,3.5,67.2,1,1,0,6.71
8.2,73.3,0,4.0,4,6.3,0,9.4,1.7,2,0,3.6,52.2,3,0,1,6.81
7.04,82.8,0,3.1,3,8.3,0,1.9,5.4,0,2,3.4,79.9,2,0,1,7.34
6.63,75.5,0,1.3,3,8.3,1,7.6,3.7,2,2,6.0,40.1,1,1,1,10.2
6.86,58.2,2,0.0,1,10.0,1,6.8,6.1,1,1,5.2,64.5,2,1,1,7.18
7.29,91.8,0,5.6,3,6.6,0,1.8,7.2,3,2,3.6,45.4,4,0,1,8.72
7.8,39.7,0,3.6,3,4.6,0,8.1,5.4,6,0,4.6,84.0,0,1,1,8.53
5.7,71.8,1,5.1,2,5.4,1,4.9,4.0,2,0,3.2,74.3,1,1,0,5.28
5.65,69.3,4,4.7,2,5.2,1,2.5,6.3,1,1,7.5,59.1,2,1,0,5.79
8.44,80.1,0,4.2,2,4.6,0,6.3,10.0,2,0,6.7,59.7,1,1,1,9.53
6.46,85.9,1,2.7,4,6.3,0,3.6,1.5,2,1,4.6,93.7,3,1,1,6.61
5.16,93.8,0,4.0,3,6.4,1,5.0,6.3,2,3,1.8,75.2,0,1,1,7.53
7.58,68.0,0,5.5,2,2.9,0,4.3,4.7,3,0,8.7,44.9,1,1,1,6.09
7.6,86.2,0,3.3,2,7.9,0,3.5,4.9,1,1,0.9,78.7,2,0,1,7.79
5.01,80.7,2,6.2,1,1.5,0,2.8,5.6,1,2,7.8,48.7,0,1,0,5.07
7.3,54.0,0,0.8,2,5.0,0,7.3,5.1,4,0,5.4,63.1,2,0,1,9.45
7.96,100.0,0,0.6,3,8.0,1,6.2,7.0,1,2,5.7,18.0,1,1,1,10.33
7.49,57.9,0,4.8,2,6.8,0,6.1,5.3,2,1,4.6,76.3,2,1,1,7.41
7.82,83.9,0,1.9,3,4.7,0,4.7,1.5,2,0,4.3,46.6,1,1,1,6.31
5.17,83.5,1,6.5,2,9.8,0,5.6,8.4,1,0,6.7,55.8,1,0,0,7.32
7.43,81.9,0,5.3,2,4.5,2,3.8,8.1,4,1,5.1,32.1,1,1,1,10.54
6.61,71.1,0,5.7,3,1.1,1,3.8,4.6,2,2,4.6,63.6,2,0,1,6.64
6.37,89.6,1,4.6,1,6.5,0,9.4,5.9,2,1,6.7,61.4,0,1,1,8.89
8.13,56.2,0,1.7,4,1.6,2,7.5,8.2,2,0,8.2,34.5,0,1,1,9.09
8.92,77.1,0,0.5,4,3.7,2,4.2,7.9,1,1,0.0,60.7,2,0,1,9.08
9.33,70.1,0,5.6,3,6.9,0,2.1,8.5,0,1,7.1,54.7,0,0,1,9.01
8.71,68.5,0,0.8,3,4.5,0,1.6,6.5,2,1,5.2,84.5,3,1,1,5.03
6.86,84.0,2,5.7,2,6.8,1,4.0,7.3,1,2,5.9,45.8,1,0,1,9.81
7.46,93.1,0,4.3,2,3.0,0,5.7,8.6,2,1,2.2,69.6,0,1,1,10.54
8.0,73.2,0,3.1,3,7.4,0,5.8,5.1,1,0,6.8,30.6,1,1,1,6.26
7.16,88.9,0,3.9,1,1.8,0,5.8,6.7,8,1,3.5,61.6,2,0,1,8.65
7.17,78.7,0,3.9,3,8.4,1,6.3,1.5,4,1,7.5,67.2,3,0,1,8.42
8.07,65.5,0,2.9,1,4.5,2,3.1,2.6,0,0,4.9,68.1,2,0,1,6.56
6.92,74.4,0,5.5,3,8.9,1,9.0,6.8,1,2,7.5,57.6,2,0,1,10.98
6.05,73.8,1,5.4,2,3.7,1,5.0,7.1,1,3,3.5,94.6,2,1,1,8.85
6.46,68.2,2,3.4,3,9.7,0,6.2,5.0,1,1,2.0,52.8,4,0,1,7.05
7.82,84.0,0,2.2,2,3.4,0,4.0,4.6,2,0,4.9,69.6,3,0,1,5.48
7.0,81.3,0,5.3,2,1.6,0,6.2,5.1,1,2,3.4,53.7,0,0,0,7.42
7.44,55.7,2,0.0,4,5.6,0,10.0,6.2,2,1,2.6,43.2,2,1,1,12.61
7.87,54.9,2,3.9,2,8.2,1,3.2,1.2,2,0,9.0,36.2,0,1,0,6.86
6.51,83.9,0,4.4,1,7.2,0,2.9,6.7,1,0,4.8,41.7,0,1,1,7.48
7.98,66.6,0,1.9,1,8.1,1,3.5,5.9,1,1,6.5,72.1,2,1,1,8.09
7.49,82.2,0,4.8,2,7.3,2,4.7,6.3,3,2,8.8,86.5,2,1,1,11.42
5.39,88.9,2,3.2,2,3.7,0,4.3,5.6,4,2,5.7,72.0,1,0,0,6.96
8.87,60.2,0,2.3,2,7.2,3,3.1,3.0,1,0,7.7,53.3,1,0,1,9.82
6.35,58.2,1,4.7,1,5.7,0,5.4,3.6,0,2,7.4,47.4,0,1,1,7.49
4.85,100.0,1,1.5,1,3.9,0,9.1,8.8,0,1,8.4,63.3,2,1,1,8.05
5.64,82.9,0,4.6,3,5.9,1,5.2,4.5,1,2,4.0,39.2,0,1,1,7.17
5.67,72.1,1,0.0,3,5.4,0,5.3,7.4,3,1,5.5,77.7,0,1,1,5.8
7.07,64.9,0,3.7,1,8.6,0,6.3,3.6,1,1,10.0,67.4,0,1,0,6.84
6.64,70.9,0,3.3,1,4.4,2,7.0,5.8,1,2,5.4,40.6,0,1,1,12.03
6.56,61.3,0,2.3,1,4.3,0,8.7,4.9,1,1,7.1,89.8,0,1,1,10.21
7.81,90.4,0,3.8,3,4.0,0,6.1,5.2,1,0,2.6,35.9,1,0,1,7.54
7.44,67.1,0,3.1,3,9.7,0,5.5,5.1,2,0,6.5,61.0,1,1,1,6.54
7.41,93.3,0,4.9,2,4.1,1,3.2,8.7,0,3,1.3,76.7,0,0,1,9.38
7.53,72.4,3,4.1,2,8.4,1,7.2,9.7,0,1,4.4,74.7,0,1,1,9.77
7.8,63.4,0,3.9,3,3.2,1,3.6,6.3,2,0,6.4,47.5,1,1,0,8.27
4.26,72.0,1,3.7,2,6.6,1,3.5,5.0,0,1,4.8,51.8,0,1,1,4.83
6.53,41.3,1,2.4,2,6.1,2,5.9,3.1,2,0,1.0,40.9,3,1,1,9.72
4.17,76.3,2,2.7,2,8.2,2,9.0,3.0,3,0,3.3,64.4,1,1,1,8.63
7.05,75.6,0,3.6,4,7.9,0,7.2,8.7,2,1,1.5,76.4,0,1,1,9.62
6.99,89.5,0,2.9,2,5.7,0,5.4,2.9,1,1,8.7,21.8,3,0,1,5.54
8.36,51.6,0,5.0,2,4.3,2,3.2,4.9,2,2,6.9,71.1,2,1,1,7.94
8.54,94.3,0,3.3,3,9.1,1,9.0,6.1,3,0,6.2,50.2,0,0,1,9.44
7.26,89.5,0,3.8,1,4.1,0,5.4,0.6,1,0,3.3,58.1,2,1,1,6.61
6.35,95.5,2,1.0,2,0.5,1,4.8,3.3,2,3,5.1,38.7,2,1,1,7.72
7.63,77.3,0,4.7,2,1.4,0,6.8,3.1,3,1,8.7,47.6,0,1,1,6.8
6.31,92.2,0,2.3,4,1.9,0,4.5,4.5,1,0,5.2,99.8,1,0,1,6.33
7.0,57.4,0,1.5,1,6.8,0,3.8,6.3,3,1,4.9,53.2,1,1,1,7.43
8.28,88.0,0,5.8,2,10.0,0,4.0,7.9,1,0,6.9,59.8,0,1,1,5.48
6.27,67.2,0,4.3,4,1.0,0,4.0,4.5,1,3,0.2,41.7,0,1,1,5.71
8.05,54.9,1,4.8,3,3.8,0,2.9,4.9,1,0,2.1,100.0,2,0,1,6.63
7.88,62.3,0,3.9,2,5.7,1,2.7,5.6,5,0,0.8,69.3,1,0,1,7.0
5.76,78.1,0,3.1,1,8.9,2,7.7,4.2,2,1,5.9,59.6,1,1,1,8.55
8.27,66.5,1,2.8,1,3.8,0,7.0,6.6,1,0,7.6,78.4,0,1,1,7.74
7.91,83.3,0,4.4,2,6.8,0,3.6,6.7,4,1,2.9,67.1,1,1,1,6.34
7.13,52.7,1,5.0,1,4.9,2,7.5,0.4,1,2,5.9,56.6,2,1,1,6.36
6.01,48.2,0,3.1,3,10.0,0,6.2,7.1,2,1,2.2,57.4,0,1,1,6.31
5.88,97.2,2,6.5,3,5.8,0,4.8,6.1,4,0,2.8,29.2,1,1,1,9.25
6.3,90.7,2,2.9,3,6.3,1,2.7,6.3,4,1,1.7,52.7,0,1,0,6.02
7.71,63.3,0,1.0,1,5.7,0,6.3,8.2,1,1,9.0,49.9,0,1,1,8.29
5.76,78.0,2,0.4,2,4.6,1,9.8,2.2,1,1,3.5,66.4,1,1,1,8.27
7.57,92.3,0,0.5,3,7.6,0,5.5,3.3,1,1,3.5,55.8,0,1,1,9.25
5.39,83.9,1,2.5,1,3.0,0,7.8,5.7,2,2,4.9,73.7,2,1,1,5.61
6.73,80.1,0,2.8,1,1.1,0,5.0,1.2,4,0,6.8,62.0,0,1,1,5.87
7.14,93.3,0,4.3,2,5.2,1,7.6,5.4,3,2,10.0,43.2,1,1,1,9.99
10.0,67.8,0,3.2,1,7.3,0,5.2,7.5,1,1,10.0,89.8,0,0,1,8.99
5.21,78.4,2,4.5,1,4.2,0,0.0,6.6,2,2,5.6,52.3,1,1,1,4.23
8.91,77.8,0,3.3,2,5.9,1,3.8,6.0,2,1,6.1,71.1,1,1,1,9.22
7.19,74.2,0,3.2,3,2.8,1,5.8,5.3,1,1,6.3,33.8,0,1,1,5.74
7.53,72.5,0,2.3,1,7.8,2,8.0,4.9,1,2,9.0,75.4,2,1,1,9.67
7.15,79.0,0,5.5,2,6.9,0,5.1,4.8,2,0,6.6,27.3,0,1,0,6.43
7.58,78.5,0,0.7,2,5.5,3,5.6,6.3,1,0,7.7,98.7,3,1,1,10.38
6.8,63.3,1,3.7,2,5.9,1,4.1,2.7,2,2,6.1,73.7,2,1,0,4.83
8.89,89.2,0,2.9,2,2.4,1,9.1,8.7,2,2,3.7,55.6,0,0,1,11.35
6.41,64.3,1,4.5,1,2.5,0,9.0,4.3,2,0,8.6,71.4,1,1,1,7.94
8.47,74.9,0,3.2,1,5.2,0,3.9,6.9,2,0,6.4,34.7,0,1,1,7.21
6.16,73.9,3,3.2,2,6.6,0,2.0,6.0,4,2,5.9,56.0,5,1,1,5.85
6.92,83.0,3,2.8,4,6.7,0,1.3,3.5,2,1,0.0,74.9,1,1,1,5.14
5.61,48.3,2,5.4,2,4.7,4,6.9,8.4,3,2,3.4,71.5,0,1,1,12.23
7.59,90.5,0,3.2,2,7.1,0,5.8,8.0,1,2,4.2,59.8,2,0,1,9.09
8.88,68.5,0,6.4,4,8.6,1,3.7,2.7,1,2,4.3,66.3,0,0,1,6.99
6.9,95.1,1,3.6,3,5.3,1,6.1,5.7,5,4,8.3,81.6,1,0,1,9.21
6.74,71.3,1,3.2,3,6.2,0,2.7,6.2,3,0,5.9,74.5,2,1,0,5.13
5.55,77.3,1,3.0,2,5.0,0,7.3,1.7,3,1,4.7,22.4,2,1,1,8.08
6.7,100.0,1,4.1,3,5.2,1,4.6,1.6,1,1,1.8,59.8,1,0,1,5.84
4.93,74.1,2,2.3,2,5.9,0,3.0,4.1,0,1,8.0,60.4,1,1,0,3.05
5.81,95.3,2,3.4,3,9.2,1,4.7,3.2,2,1,4.9,35.0,4,1,0,6.73
7.29,78.5,0,3.2,3,7.5,0,4.6,3.7,3,1,0.0,38.9,3,0,1,7.47
8.71,83.8,0,3.7,2,7.3,1,6.3,3.2,1,0,7.5,89.9,0,1,1,8.07
10.0,79.0,0,3.8,4,4.5,1,8.2,5.6,3,0,4.0,45.5,3,1,1,11.05
6.24,89.9,2,3.8,4,3.5,4,8.1,4.0,0,1,0.0,51.5,1,1,1,9.61
8.87,68.4,0,3.4,2,6.4,0,5.9,8.0,4,0,6.6,44.0,3,1,1,10.03
7.32,64.2,0,5.7,1,8.2,1,5.1,6.2,2,0,6.3,68.3,1,1,1,8.26
6.8,69.1,0,3.9,3,9.3,0,4.2,7.4,1,1,1.1,65.6,1,0,1,6.15
7.56,79.4,1,7.4,2,0.1,0,1.4,2.4,0,0,9.8,98.8,1,0,1,5.29
7.08,74.9,0,3.3,2,10.0,1,5.5,4.5,0,0,6.1,49.3,0,1,1,6.13
7.14,87.9,0,4.7,1,6.4,1,3.5,6.1,3,1,5.0,70.5,1,0,1,6.58
6.47,96.3,2,2.0,3,7.5,0,8.3,6.7,1,3,2.3,22.3,2,1,1,8.95
5.18,64.3,2,5.4,4,1.7,0,5.0,4.5,2,0,2.7,31.6,1,0,1,6.21
4.99,67.7,2,2.1,1,5.0,1,7.2,4.8,2,1,5.8,86.6,0,1,1,8.51
7.85,57.9,0,3.9,3,7.3,1,4.4,5.0,2,1,5.4,82.1,0,0,1,10.03
6.64,100.0,2,2.8,3,2.9,0,3.9,5.2,3,1,3.6,68.9,2,0,1,4.81
6.23,82.3,1,3.9,1,0.0,0,6.9,10.0,3,1,5.2,82.5,1,1,1,8.15
7.01,84.7,0,2.8,1,6.2,0,6.1,6.4,0,0,6.5,38.5,1,1,0,7.19
8.03,59.2,0,1.9,2,5.4,0,6.2,5.9,4,0,4.1,93.1,2,0,1,10.61
7.23,78.0,1,2.8,3,8.7,0,5.3,3.3,4,1,3.8,39.3,1,1,1,7.2
6.15,85.1,1,5.7,2,5.1,1,7.3,3.3,1,2,8.3,66.5,2,0,1,6.1
8.59,74.5,0,3.9,1,5.3,0,7.0,5.4,5,0,5.0,100.0,3,0,1,8.36
9.05,93.1,0,1.1,1,7.0,2,0.5,8.1,2,1,5.7,42.4,2,0,1,8.06
7.64,100.0,1,5.0,2,7.8,0,4.9,5.4,0,0,3.2,87.0,2,0,1,7.11
8.27,64.7,0,1.8,1,3.9,0,7.8,5.5,3,0,8.5,79.3,0,1,1,11.59
8.61,63.7,0,4.4,2,7.6,1,3.2,4.3,1,2,1.1,49.3,0,1,1,6.98
8.47,65.7,0,4.1,1,4.4,0,1.6,2.3,3,1,4.1,100.0,0,1,0,6.86
7.8,100.0,0,4.2,3,5.5,0,5.2,6.7,2,0,5.6,41.8,0,1,1,8.87
7.78,92.6,1,6.2,3,7.0,0,6.7,5.3,1,2,3.7,59.3,1,0,1,7.64
7.68,76.1,0,1.9,3,7.4,0,4.4,6.7,2,1,6.0,72.8,3,1,1,9.44
5.57,78.5,1,4.2,1,6.2,2,8.5,6.1,3,2,5.6,58.1,1,0,1,9.23
7.91,66.6,0,5.2,2,3.1,0,9.7,3.9,1,0,3.5,100.0,0,1,1,7.7
5.24,90.5,1,2.2,3,1.4,0,1.1,6.3,3,0,3.7,34.8,4,0,1,6.5
5.97,72.7,1,2.0,2,5.1,0,4.6,3.2,3,2,2.0,92.4,1,1,1,6.53
8.69,74.4,0,2.7,1,7.6,2,0.3,6.2,1,0,4.1,14.8,0,1,1,5.82
8.09,86.5,0,3.7,1,6.5,0,7.0,5.7,7,1,8.1,2.2,0,0,1,9.72
8.93,75.4,0,0.9,2,6.0,2,3.9,8.9,2,0,4.4,61.1,1,0,1,8.77
6.65,74.7,1,4.1,2,5.5,2,4.4,4.1,1,2,4.9,74.7,1,0,1,7.12
5.5,78.1,1,0.9,4,6.2,0,8.1,3.1,1,1,3.3,89.8,1,0,1,7.14
6.69,89.1,1,5.3,3,3.3,0,2.4,5.0,1,3,0.4,92.2,4,0,1,5.68
7.13,100.0,1,4.0,3,7.2,1,1.9,7.0,2,0,0.4,64.0,0,0,1,8.94
7.1,86.2,0,6.3,4,7.4,1,0.3,0.2,1,1,3.9,70.0,0,0,1,4.18
8.47,89.2,0,4.3,3,4.7,0,8.4,7.6,1,0,3.1,64.9,0,0,1,9.15
6.53,75.2,1,2.7,1,6.5,1,7.9,5.4,2,2,5.5,90.5,0,1,1,10.67
7.46,68.1,0,1.9,1,1.7,0,4.8,3.5,4,2,7.4,35.3,1,1,1,9.21
5.71,87.2,0,3.6,3,5.9,1,2.6,5.1,0,0,1.9,46.7,2,0,1,6.02
7.59,80.4,0,3.2,2,5.2,1,7.4,4.3,2,0,3.7,77.1,0,0,1,8.27
7.0,58.1,1,5.1,4,8.3,1,10.0,3.3,0,1,2.2,81.1,1,1,1,10.52
6.03,73.4,0,1.7,1,5.1,1,5.0,1.9,5,1,6.8,86.9,1,1,1,7.07
6.69,76.8,1,6.4,1,7.4,0,2.7,7.3,2,1,5.2,58.6,2,1,1,5.27
6.76,70.9,1,5.2,3,4.6,0,8.4,4.7,1,0,2.5,50.0,0,0,1,7.12
6.65,98.7,1,2.9,3,0.5,0,2.9,5.0,1,0,7.9,74.1,1,1,1,6.37
9.3,84.7,0,6.1,3,5.0,0,4.7,7.5,3,0,4.1,38.1,1,0,1,8.49
6.87,97.2,1,1.9,1,5.9,1,0.0,5.9,4,0,7.5,93.3,1,1,1,6.35
6.68,81.7,1,3.5,2,5.8,2,4.8,2.7,2,0,0.8,49.9,1,1,1,6.36
4.27,79.1,0,1.2,2,5.9,1,2.6,7.1,1,0,2.0,54.5,1,1,1,6.02
5.84,64.9,1,6.2,4,4.4,1,8.4,8.8,3,1,4.3,75.0,1,0,1,8.79
6.66,78.2,0,0.6,1,4.8,0,3.3,6.8,1,0,5.4,45.5,3,1,0,5.03
6.11,78.2,2,0.9,2,3.0,1,7.3,4.1,1,0,4.1,37.0,1,1,1,7.27
8.8,58.9,0,2.2,1,1.1,0,5.3,2.9,1,0,3.8,83.1,2,1,1,5.8
6.79,70.4,1,5.3,3,5.3,0,5.8,4.0,2,1,6.2,39.1,3,1,0,6.11
8.67,73.5,0,4.7,1,3.9,1,6.7,6.0,3,1,7.5,65.2,2,1,1,8.94
7.08,83.8,1,3.4,4,7.9,2,5.4,8.7,1,0,2.9,60.4,0,0,1,9.05
7.05,84.5,1,4.8,1,0.7,0,4.0,4.3,3,1,6.6,22.0,0,1,1,6.1
6.88,69.9,1,3.0,3,6.1,0,3.6,4.5,3,0,3.3,39.1,0,1,1,6.76
7.0,84.6,0,3.9,3,10.0,0,6.7,7.8,4,2,2.4,67.1,1,0,1,9.06
9.23,75.5,0,5.8,1,5.1,0,1.1,4.9,3,2,4.8,84.7,1,0,1,6.73
3.98,37.8,2,2.8,1,5.5,2,9.4,9.2,2,0,7.8,44.8,1,1,1,10.54
4.4,71.2,2,2.0,2,6.4,0,5.8,5.5,1,1,4.1,42.3,2,1,1,4.01
6.29,93.1,2,4.0,2,6.6,0,4.7,8.1,0,1,5.1,72.6,1,1,1,7.31
7.02,54.5,0,4.4,3,4.6,0,6.1,6.6,2,2,3.0,76.0,2,1,1,6.91
7.9,79.6,0,3.4,2,3.3,0,4.1,7.2,1,3,7.2,78.7,3,0,1,6.99
7.62,100.0,0,4.8,1,6.9,1,5.1,5.4,6,2,4.5,64.4,1,1,1,9.2
6.5,67.4,2,2.9,4,1.3,0,2.9,5.6,4,1,6.5,49.4,2,1,1,6.42
8.32,78.0,0,3.4,1,7.3,1,6.4,6.6,1,4,4.7,75.7,2,0,1,9.78
8.34,59.7,0,3.8,2,4.6,2,5.3,7.4,3,2,3.7,58.3,5,0,1,10.43
7.24,100.0,1,3.7,4,5.5,1,5.9,6.9,1,0,7.6,73.4,2,0,1,7.54
8.25,76.8,0,5.8,4,4.3,0,8.9,2.3,3,0,0.5,49.6,3,0,1,6.32
7.35,78.7,1,3.8,1,8.6,0,3.7,6.3,2,1,5.9,55.8,0,0,1,6.19
6.27,97.0,0,2.7,1,6.0,1,5.2,4.5,1,2,8.3,70.7,1,0,1,8.2
7.91,87.3,2,4.0,2,4.8,0,1.7,4.7,1,0,1.5,18.9,1,1,1,6.22
7.14,65.7,0,4.8,2,4.7,0,6.8,6.7,2,2,5.6,86.8,1,1,1,9.17
7.0,68.9,1,4.4,3,5.2,0,5.5,9.2,2,0,0.5,59.0,1,0,1,7.61
8.91,84.9,0,4.4,2,10.0,2,5.5,5.3,1,0,5.1,3.6,1,1,1,9.72
3.81,69.3,1,0.8,1,2.6,0,5.1,9.7,2,0,10.0,63.4,1,1,1,5.59
5.16,48.4,0,0.0,2,7.9,1,4.2,3.6,0,2,0.0,51.3,0,1,0,5.35
5.46,77.3,0,5.2,3,6.7,0,10.0,8.3,1,0,3.8,39.2,4,0,1,7.8
6.53,57.3,1,3.9,3,8.9,0,5.6,6.7,4,0,3.0,99.2,1,1,1,8.82
6.67,100.0,0,3.2,2,6.9,0,6.2,6.2,0,1,2.7,76.7,0,0,1,4.21
5.04,80.5,2,4.3,1,5.5,1,2.9,8.6,5,0,2.5,56.8,1,0,1,7.27
5.72,65.3,3,6.3,2,7.7,0,7.5,4.5,2,1,7.5,61.1,1,1,0,7.49
5.88,68.2,1,5.5,2,6.0,0,5.2,8.4,0,1,5.5,65.3,0,1,1,6.86
10.0,51.5,0,4.7,3,7.2,1,6.5,5.4,2,0,0.0,27.4,2,1,1,9.76
9.34,62.6,0,1.8,3,8.6,1,7.6,4.5,3,0,1.8,100.0,0,0,1,11.42
6.46,92.2,1,2.0,4,5.7,0,5.3,3.1,2,1,1.7,60.9,2,0,1,6.57
6.53,100.0,1,0.0,2,4.6,0,3.9,9.0,1,1,1.4,96.2,3,0,1,6.64
5.51,88.2,2,4.2,3,4.1,0,0.1,8.1,1,1,4.2,43.0,2,1,1,5.26
4.52,76.7,0,5.0,1,6.5,0,4.6,4.8,1,0,6.6,71.7,2,1,1,3.23
6.85,72.0,2,5.1,2,3.6,0,3.9,6.9,2,1,5.6,36.3,2,1,1,6.13
5.7,64.6,2,4.3,2,4.7,0,2.9,6.1,2,0,9.6,2.4,1,1,1,6.6
6.89,100.0,1,3.0,3,3.4,0,8.8,5.1,3,0,1.8,78.1,0,0,1,9.01
4.92,75.4,0,2.3,3,6.6,0,7.8,7.7,0,1,2.9,63.9,1,0,1,5.51
6.01,100.0,1,1.9,1,3.8,1,1.3,4.5,3,1,4.8,49.4,0,0,1,8.73
7.19,97.5,1,2.9,3,2.7,1,5.9,1.4,1,2,6.0,0.0,0,0,1,7.25
7.48,53.6,0,1.6,3,3.1,0,3.6,6.3,2,0,5.7,50.6,0,1,0,5.94
7.54,68.7,2,6.0,4,4.2,0,6.3,5.9,5,1,0.4,65.5,1,0,1,7.46
5.28,68.6,0,1.1,2,4.4,1,3.7,4.6,4,0,8.3,38.5,0,1,1,7.99
8.11,76.9,0,2.9,4,6.1,2,4.3,4.0,4,0,0.9,62.6,0,0,1,7.81
5.96,77.2,1,0.1,3,5.1,0,7.7,2.7,3,0,6.0,47.3,1,0,1,6.82
7.82,100.0,0,3.7,3,6.3,0,7.4,5.1,1,1,5.8,36.0,1,1,1,8.62
6.99,62.9,1,3.2,2,6.5,0,9.0,4.0,2,1,5.9,57.2,4,0,1,6.35
5.21,81.2,2,2.6,3,7.1,2,5.0,7.7,0,2,3.2,16.6,1,1,1,8.5
6.59,86.6,1,1.7,3,1.3,0,2.2,6.8,1,1,3.3,70.0,2,0,1,4.75
7.47,78.0,1,3.2,2,3.0,0,7.6,4.8,3,1,6.1,62.0,4,1,1,9.9
7.8,79.5,0,2.3,4,6.7,1,7.6,6.8,4,0,4.2,72.1,1,0,1,10.32
6.82,63.4,0,3.0,1,6.0,1,6.9,5.6,0,0,7.6,82.6,1,0,1,8.98
8.99,79.5,0,6.3,2,7.6,1,3.8,5.3,1,0,6.6,54.9,0,0,1,8.06
8.31,85.2,2,3.5,2,2.1,0,3.0,5.7,3,0,5.8,6.2,2,1,1,8.3
6.67,82.6,1,4.1,2,4.5,2,6.7,9.3,0,3,8.3,54.9,1,1,1,10.21
7.98,86.0,0,2.5,2,4.8,1,3.5,7.1,2,4,3.6,37.1,0,1,1,8.74
9.51,97.8,0,1.9,2,5.9,0,4.8,5.2,1,2,5.1,88.7,0,0,1,8.75
9.55,91.1,0,3.2,2,5.6,0,10.0,7.6,1,0,3.7,52.6,0,1,1,7.3
5.4,79.0,1,7.2,1,6.5,0,10.0,7.5,4,0,10.0,76.8,1,1,1,8.57
5.8,61.6,1,2.7,1,5.2,1,7.3,6.3,1,3,7.8,89.2,1,1,1,9.82
8.93,69.6,0,3.8,3,8.5,0,4.0,5.1,1,1,6.3,45.0,2,0,1,6.05
5.62,74.9,3,1.9,2,9.2,1,3.8,5.0,2,2,6.0,61.5,1,1,1,6.11
5.28,81.5,2,0.0,1,3.0,0,7.1,3.6,3,0,5.9,60.8,2,0,1,5.16
6.37,71.3,1,1.9,1,5.6,0,8.9,6.2,2,1,10.0,100.0,0,1,1,6.69
7.55,64.9,0,7.0,1,7.3,1,4.3,4.6,3,2,8.8,85.3,3,0,1,7.8
6.87,61.4,0,4.2,1,6.8,3,4.4,4.9,3,2,5.3,38.7,3,0,1,9.72
6.15,54.9,2,5.8,4,4.6,1,5.7,7.0,3,1,2.4,47.8,0,1,1,7.97
6.12,74.7,0,2.6,2,6.1,1,2.3,9.2,0,1,5.5,50.7,3,1,1,4.97
6.07,57.4,3,0.0,2,2.0,0,2.4,6.5,0,0,3.8,43.8,2,1,1,3.62
5.86,64.0,3,1.4,2,5.5,1,2.8,5.6,2,0,4.2,53.7,2,1,0,4.97
9.97,72.5,1,3.8,1,2.3,2,6.8,5.8,3,1,2.5,49.4,1,1,1,10.86
7.39,59.3,0,3.6,3,6.6,0,6.1,8.1,3,1,0.0,60.7,1,0,1,7.62
8.15,83.3,0,3.2,4,3.0,0,8.1,6.6,2,0,7.5,57.7,3,1,1,10.28
6.36,88.4,0,2.4,1,5.9,0,1.5,6.2,2,1,4.8,83.1,1,0,1,4.7
6.76,70.3,1,4.7,1,6.2,1,2.0,6.3,2,0,5.3,44.8,3,1,1,5.81
6.07,71.9,1,2.4,2,5.7,0,6.5,2.9,1,0,5.2,26.6,3,1,1,6.83
3.55,85.5,0,3.7,1,4.1,0,3.5,6.6,3,1,7.6,50.1,4,1,0,2.92
5.21,68.0,0,3.5,1,5.0,0,3.7,4.0,2,0,7.8,47.7,0,1,1,6.75
4.65,67.0,2,2.6,3,8.1,0,7.8,6.6,0,1,6.4,89.5,0,1,1,7.59
4.08,94.8,1,1.8,2,4.6,0,4.2,4.3,1,2,6.3,76.9,1,1,1,5.83
5.45,90.4,3,2.5,1,5.5,1,4.5,7.0,3,0,5.4,86.0,2,1,0,6.28
8.72,86.4,0,6.2,3,4.3,0,4.9,5.5,1,3,6.9,79.3,1,0,1,7.33
6.94,91.0,0,5.0,1,7.7,0,5.1,3.5,2,0,5.6,20.6,1,1,0,5.84
8.68,50.3,0,4.8,2,5.7,1,7.1,5.2,0,1,7.4,42.9,2,0,1,8.53
7.53,97.0,0,1.9,3,3.8,0,2.7,10.0,1,0,0.5,30.0,1,0,1,8.25
8.02,83.5,0,0.9,2,5.5,1,5.1,1.3,2,2,8.0,91.3,1,1,1,5.66
5.83,92.2,1,5.0,2,5.0,2,8.2,6.1,2,0,2.9,76.8,2,1,1,10.47
7.68,83.4,2,4.6,3,8.6,0,10.0,3.8,1,0,0.7,68.0,1,0,1,8.52
7.95,78.7,0,3.4,2,5.4,0,2.4,8.6,0,2,2.0,48.6,0,1,1,8.04
6.25,74.1,1,2.6,3,2.5,1,6.3,7.4,2,2,4.5,50.9,4,0,1,9.0
7.73,83.1,3,0.9,2,6.6,0,5.1,6.2,3,1,10.0,42.8,0,1,0,8.74
7.74,73.6,1,4.6,2,9.4,2,5.3,7.6,1,0,4.5,73.0,2,0,1,9.92
6.29,90.2,3,5.1,3,8.1,1,3.7,6.3,1,0,3.7,62.1,2,1,1,6.35
